line_number,timestamp,hostname,service,event_type,severity,source_ip,username,raw
11,Jun 15 02:04:59,combo,sshd(pam_unix),Auth Failure,HIGH,220-135-151-1.hinet-ip.hinet.net,root,Jun 15 02:04:59 combo sshd(pam_unix)[20896]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
12,Jun 15 02:04:59,combo,sshd(pam_unix),Auth Failure,HIGH,220-135-151-1.hinet-ip.hinet.net,root,Jun 15 02:04:59 combo sshd(pam_unix)[20897]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
13,Jun 15 02:04:59,combo,sshd(pam_unix),Auth Failure,HIGH,220-135-151-1.hinet-ip.hinet.net,root,Jun 15 02:04:59 combo sshd(pam_unix)[20898]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
14,Jun 15 04:06:18,combo,su(pam_unix),Session Opened,INFO,,cyrus,Jun 15 04:06:18 combo su(pam_unix)[21416]: session opened for user cyrus by (uid=0)
15,Jun 15 04:06:19,combo,su(pam_unix),Session Closed,INFO,,cyrus,Jun 15 04:06:19 combo su(pam_unix)[21416]: session closed for user cyrus
17,Jun 15 04:12:42,combo,su(pam_unix),Session Opened,INFO,,news,Jun 15 04:12:42 combo su(pam_unix)[22644]: session opened for user news by (uid=0)
18,Jun 15 04:12:43,combo,su(pam_unix),Session Closed,INFO,,news,Jun 15 04:12:43 combo su(pam_unix)[22644]: session closed for user news
19,Jun 15 12:12:34,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 15 12:12:34 combo sshd(pam_unix)[23397]: check pass; user unknown
20,Jun 15 12:12:34,combo,sshd(pam_unix),Auth Failure,HIGH,218.188.2.4,,Jun 15 12:12:34 combo sshd(pam_unix)[23397]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4
21,Jun 15 12:12:34,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 15 12:12:34 combo sshd(pam_unix)[23395]: check pass; user unknown
22,Jun 15 12:12:34,combo,sshd(pam_unix),Auth Failure,HIGH,218.188.2.4,,Jun 15 12:12:34 combo sshd(pam_unix)[23395]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4
23,Jun 15 12:12:34,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 15 12:12:34 combo sshd(pam_unix)[23404]: check pass; user unknown
24,Jun 15 12:12:34,combo,sshd(pam_unix),Auth Failure,HIGH,218.188.2.4,,Jun 15 12:12:34 combo sshd(pam_unix)[23404]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4
25,Jun 15 12:12:34,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 15 12:12:34 combo sshd(pam_unix)[23399]: check pass; user unknown
26,Jun 15 12:12:34,combo,sshd(pam_unix),Auth Failure,HIGH,218.188.2.4,,Jun 15 12:12:34 combo sshd(pam_unix)[23399]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4
27,Jun 15 12:12:34,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 15 12:12:34 combo sshd(pam_unix)[23406]: check pass; user unknown
28,Jun 15 12:12:34,combo,sshd(pam_unix),Auth Failure,HIGH,218.188.2.4,,Jun 15 12:12:34 combo sshd(pam_unix)[23406]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4
29,Jun 15 12:12:34,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 15 12:12:34 combo sshd(pam_unix)[23396]: check pass; user unknown
30,Jun 15 12:12:34,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 15 12:12:34 combo sshd(pam_unix)[23394]: check pass; user unknown
31,Jun 15 12:12:34,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 15 12:12:34 combo sshd(pam_unix)[23407]: check pass; user unknown
32,Jun 15 12:12:34,combo,sshd(pam_unix),Auth Failure,HIGH,218.188.2.4,,Jun 15 12:12:34 combo sshd(pam_unix)[23394]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4
33,Jun 15 12:12:34,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 15 12:12:34 combo sshd(pam_unix)[23403]: check pass; user unknown
34,Jun 15 12:12:34,combo,sshd(pam_unix),Auth Failure,HIGH,218.188.2.4,,Jun 15 12:12:34 combo sshd(pam_unix)[23396]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4
35,Jun 15 12:12:34,combo,sshd(pam_unix),Auth Failure,HIGH,218.188.2.4,,Jun 15 12:12:34 combo sshd(pam_unix)[23407]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4
36,Jun 15 12:12:34,combo,sshd(pam_unix),Auth Failure,HIGH,218.188.2.4,,Jun 15 12:12:34 combo sshd(pam_unix)[23403]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4
37,Jun 15 12:12:34,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 15 12:12:34 combo sshd(pam_unix)[23412]: check pass; user unknown
38,Jun 15 12:12:34,combo,sshd(pam_unix),Auth Failure,HIGH,218.188.2.4,,Jun 15 12:12:34 combo sshd(pam_unix)[23412]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4
39,Jun 15 12:13:19,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 15 12:13:19 combo sshd(pam_unix)[23414]: check pass; user unknown
40,Jun 15 12:13:19,combo,sshd(pam_unix),Auth Failure,HIGH,218.188.2.4,,Jun 15 12:13:19 combo sshd(pam_unix)[23414]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4
41,Jun 15 12:13:20,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 15 12:13:20 combo sshd(pam_unix)[23416]: check pass; user unknown
42,Jun 15 12:13:20,combo,sshd(pam_unix),Auth Failure,HIGH,218.188.2.4,,Jun 15 12:13:20 combo sshd(pam_unix)[23416]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4
43,Jun 15 14:53:32,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 15 14:53:32 combo sshd(pam_unix)[23661]: check pass; user unknown
44,Jun 15 14:53:32,combo,sshd(pam_unix),Auth Failure,HIGH,061092085098.ctinets.com,,Jun 15 14:53:32 combo sshd(pam_unix)[23661]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com
45,Jun 15 14:53:32,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 15 14:53:32 combo sshd(pam_unix)[23663]: check pass; user unknown
46,Jun 15 14:53:32,combo,sshd(pam_unix),Auth Failure,HIGH,061092085098.ctinets.com,,Jun 15 14:53:32 combo sshd(pam_unix)[23663]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com
47,Jun 15 14:53:32,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 15 14:53:32 combo sshd(pam_unix)[23664]: check pass; user unknown
48,Jun 15 14:53:32,combo,sshd(pam_unix),Auth Failure,HIGH,061092085098.ctinets.com,,Jun 15 14:53:32 combo sshd(pam_unix)[23664]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com
49,Jun 15 14:53:33,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 15 14:53:33 combo sshd(pam_unix)[23665]: check pass; user unknown
50,Jun 15 14:53:33,combo,sshd(pam_unix),Auth Failure,HIGH,061092085098.ctinets.com,,Jun 15 14:53:33 combo sshd(pam_unix)[23665]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com
51,Jun 15 14:53:34,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 15 14:53:34 combo sshd(pam_unix)[23669]: check pass; user unknown
52,Jun 15 14:53:34,combo,sshd(pam_unix),Auth Failure,HIGH,061092085098.ctinets.com,,Jun 15 14:53:34 combo sshd(pam_unix)[23669]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com
53,Jun 15 14:53:35,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 15 14:53:35 combo sshd(pam_unix)[23671]: check pass; user unknown
54,Jun 15 14:53:35,combo,sshd(pam_unix),Auth Failure,HIGH,061092085098.ctinets.com,,Jun 15 14:53:35 combo sshd(pam_unix)[23671]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com
55,Jun 15 14:53:35,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 15 14:53:35 combo sshd(pam_unix)[23673]: check pass; user unknown
56,Jun 15 14:53:35,combo,sshd(pam_unix),Auth Failure,HIGH,061092085098.ctinets.com,,Jun 15 14:53:35 combo sshd(pam_unix)[23673]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com
57,Jun 15 14:53:35,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 15 14:53:35 combo sshd(pam_unix)[23674]: check pass; user unknown
58,Jun 15 14:53:35,combo,sshd(pam_unix),Auth Failure,HIGH,061092085098.ctinets.com,,Jun 15 14:53:35 combo sshd(pam_unix)[23674]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com
59,Jun 15 14:53:36,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 15 14:53:36 combo sshd(pam_unix)[23678]: check pass; user unknown
60,Jun 15 14:53:36,combo,sshd(pam_unix),Auth Failure,HIGH,061092085098.ctinets.com,,Jun 15 14:53:36 combo sshd(pam_unix)[23678]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com
61,Jun 15 14:53:36,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 15 14:53:36 combo sshd(pam_unix)[23677]: check pass; user unknown
62,Jun 15 14:53:36,combo,sshd(pam_unix),Auth Failure,HIGH,061092085098.ctinets.com,,Jun 15 14:53:36 combo sshd(pam_unix)[23677]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com
63,Jun 15 20:05:31,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 15 20:05:31 combo sshd(pam_unix)[24138]: check pass; user unknown
64,Jun 15 20:05:31,combo,sshd(pam_unix),Auth Failure,HIGH,d211-116-254-214.rev.krline.net,,Jun 15 20:05:31 combo sshd(pam_unix)[24138]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net
65,Jun 15 20:05:31,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 15 20:05:31 combo sshd(pam_unix)[24137]: check pass; user unknown
66,Jun 15 20:05:31,combo,sshd(pam_unix),Auth Failure,HIGH,d211-116-254-214.rev.krline.net,,Jun 15 20:05:31 combo sshd(pam_unix)[24137]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net
67,Jun 15 20:05:31,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 15 20:05:31 combo sshd(pam_unix)[24141]: check pass; user unknown
68,Jun 15 20:05:31,combo,sshd(pam_unix),Auth Failure,HIGH,d211-116-254-214.rev.krline.net,,Jun 15 20:05:31 combo sshd(pam_unix)[24141]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net
69,Jun 15 20:05:31,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 15 20:05:31 combo sshd(pam_unix)[24140]: check pass; user unknown
70,Jun 15 20:05:31,combo,sshd(pam_unix),Auth Failure,HIGH,d211-116-254-214.rev.krline.net,,Jun 15 20:05:31 combo sshd(pam_unix)[24140]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net
71,Jun 15 20:05:31,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 15 20:05:31 combo sshd(pam_unix)[24139]: check pass; user unknown
72,Jun 15 20:05:31,combo,sshd(pam_unix),Auth Failure,HIGH,d211-116-254-214.rev.krline.net,,Jun 15 20:05:31 combo sshd(pam_unix)[24139]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net
73,Jun 16 04:10:22,combo,su(pam_unix),Session Opened,INFO,,cyrus,Jun 16 04:10:22 combo su(pam_unix)[25178]: session opened for user cyrus by (uid=0)
74,Jun 16 04:10:23,combo,su(pam_unix),Session Closed,INFO,,cyrus,Jun 16 04:10:23 combo su(pam_unix)[25178]: session closed for user cyrus
76,Jun 16 04:16:17,combo,su(pam_unix),Session Opened,INFO,,news,Jun 16 04:16:17 combo su(pam_unix)[25548]: session opened for user news by (uid=0)
77,Jun 16 04:16:18,combo,su(pam_unix),Session Closed,INFO,,news,Jun 16 04:16:18 combo su(pam_unix)[25548]: session closed for user news
78,Jun 17 04:03:33,combo,su(pam_unix),Session Opened,INFO,,cyrus,Jun 17 04:03:33 combo su(pam_unix)[27953]: session opened for user cyrus by (uid=0)
79,Jun 17 04:03:34,combo,su(pam_unix),Session Closed,INFO,,cyrus,Jun 17 04:03:34 combo su(pam_unix)[27953]: session closed for user cyrus
81,Jun 17 04:09:43,combo,su(pam_unix),Session Opened,INFO,,news,Jun 17 04:09:43 combo su(pam_unix)[29190]: session opened for user news by (uid=0)
82,Jun 17 04:09:45,combo,su(pam_unix),Session Closed,INFO,,news,Jun 17 04:09:45 combo su(pam_unix)[29190]: session closed for user news
91,Jun 17 19:43:13,combo,sshd(pam_unix),Auth Failure,HIGH,211.46.224.253,guest,Jun 17 19:43:13 combo sshd(pam_unix)[30565]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.46.224.253  user=guest
92,Jun 17 20:29:26,combo,sshd(pam_unix),Session Opened,INFO,,test,Jun 17 20:29:26 combo sshd(pam_unix)[30631]: session opened for user test by (uid=509)
93,Jun 17 20:34:57,combo,sshd(pam_unix),Session Closed,INFO,,test,Jun 17 20:34:57 combo sshd(pam_unix)[30631]: session closed for user test
101,Jun 18 01:30:59,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 18 01:30:59 combo sshd(pam_unix)[31201]: check pass; user unknown
102,Jun 18 01:30:59,combo,sshd(pam_unix),Auth Failure,HIGH,adsl-70-242-75-179.dsl.ksc2mo.swbell.net,,Jun 18 01:30:59 combo sshd(pam_unix)[31201]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net
103,Jun 18 01:30:59,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 18 01:30:59 combo sshd(pam_unix)[31199]: check pass; user unknown
104,Jun 18 01:30:59,combo,sshd(pam_unix),Auth Failure,HIGH,adsl-70-242-75-179.dsl.ksc2mo.swbell.net,,Jun 18 01:30:59 combo sshd(pam_unix)[31199]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net
105,Jun 18 01:30:59,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 18 01:30:59 combo sshd(pam_unix)[31198]: check pass; user unknown
106,Jun 18 01:30:59,combo,sshd(pam_unix),Auth Failure,HIGH,adsl-70-242-75-179.dsl.ksc2mo.swbell.net,,Jun 18 01:30:59 combo sshd(pam_unix)[31198]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net
107,Jun 18 01:30:59,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 18 01:30:59 combo sshd(pam_unix)[31202]: check pass; user unknown
108,Jun 18 01:30:59,combo,sshd(pam_unix),Auth Failure,HIGH,adsl-70-242-75-179.dsl.ksc2mo.swbell.net,,Jun 18 01:30:59 combo sshd(pam_unix)[31202]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net
109,Jun 18 01:30:59,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 18 01:30:59 combo sshd(pam_unix)[31205]: check pass; user unknown
110,Jun 18 01:30:59,combo,sshd(pam_unix),Auth Failure,HIGH,adsl-70-242-75-179.dsl.ksc2mo.swbell.net,,Jun 18 01:30:59 combo sshd(pam_unix)[31205]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net
111,Jun 18 01:30:59,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 18 01:30:59 combo sshd(pam_unix)[31200]: check pass; user unknown
112,Jun 18 01:30:59,combo,sshd(pam_unix),Auth Failure,HIGH,adsl-70-242-75-179.dsl.ksc2mo.swbell.net,,Jun 18 01:30:59 combo sshd(pam_unix)[31200]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net
113,Jun 18 01:30:59,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 18 01:30:59 combo sshd(pam_unix)[31206]: check pass; user unknown
114,Jun 18 01:30:59,combo,sshd(pam_unix),Auth Failure,HIGH,adsl-70-242-75-179.dsl.ksc2mo.swbell.net,,Jun 18 01:30:59 combo sshd(pam_unix)[31206]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net
115,Jun 18 01:30:59,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 18 01:30:59 combo sshd(pam_unix)[31204]: check pass; user unknown
116,Jun 18 01:30:59,combo,sshd(pam_unix),Auth Failure,HIGH,adsl-70-242-75-179.dsl.ksc2mo.swbell.net,,Jun 18 01:30:59 combo sshd(pam_unix)[31204]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net
117,Jun 18 01:30:59,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 18 01:30:59 combo sshd(pam_unix)[31203]: check pass; user unknown
118,Jun 18 01:30:59,combo,sshd(pam_unix),Auth Failure,HIGH,adsl-70-242-75-179.dsl.ksc2mo.swbell.net,,Jun 18 01:30:59 combo sshd(pam_unix)[31203]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net
119,Jun 18 01:30:59,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 18 01:30:59 combo sshd(pam_unix)[31207]: check pass; user unknown
120,Jun 18 01:30:59,combo,sshd(pam_unix),Auth Failure,HIGH,adsl-70-242-75-179.dsl.ksc2mo.swbell.net,,Jun 18 01:30:59 combo sshd(pam_unix)[31207]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net
137,Jun 18 04:07:05,combo,su(pam_unix),Session Opened,INFO,,cyrus,Jun 18 04:07:05 combo su(pam_unix)[31791]: session opened for user cyrus by (uid=0)
138,Jun 18 04:07:06,combo,su(pam_unix),Session Closed,INFO,,cyrus,Jun 18 04:07:06 combo su(pam_unix)[31791]: session closed for user cyrus
140,Jun 18 04:12:42,combo,su(pam_unix),Session Opened,INFO,,news,Jun 18 04:12:42 combo su(pam_unix)[32164]: session opened for user news by (uid=0)
141,Jun 18 04:12:43,combo,su(pam_unix),Session Closed,INFO,,news,Jun 18 04:12:43 combo su(pam_unix)[32164]: session closed for user news
142,Jun 19 04:08:55,combo,su(pam_unix),Session Opened,INFO,,cyrus,Jun 19 04:08:55 combo su(pam_unix)[2192]: session opened for user cyrus by (uid=0)
143,Jun 19 04:08:55,combo,su(pam_unix),Session Closed,INFO,,cyrus,Jun 19 04:08:55 combo su(pam_unix)[2192]: session closed for user cyrus
148,Jun 19 04:15:18,combo,su(pam_unix),Session Opened,INFO,,news,Jun 19 04:15:18 combo su(pam_unix)[3676]: session opened for user news by (uid=0)
149,Jun 19 04:15:18,combo,su(pam_unix),Session Closed,INFO,,news,Jun 19 04:15:18 combo su(pam_unix)[3676]: session closed for user news
162,Jun 20 04:02:54,combo,su(pam_unix),Session Opened,INFO,,cyrus,Jun 20 04:02:54 combo su(pam_unix)[9187]: session opened for user cyrus by (uid=0)
163,Jun 20 04:02:54,combo,su(pam_unix),Session Closed,INFO,,cyrus,Jun 20 04:02:54 combo su(pam_unix)[9187]: session closed for user cyrus
165,Jun 20 04:08:37,combo,su(pam_unix),Session Opened,INFO,,news,Jun 20 04:08:37 combo su(pam_unix)[9558]: session opened for user news by (uid=0)
166,Jun 20 04:08:38,combo,su(pam_unix),Session Closed,INFO,,news,Jun 20 04:08:38 combo su(pam_unix)[9558]: session closed for user news
168,Jun 20 09:20:05,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 20 09:20:05 combo sshd(pam_unix)[10035]: check pass; user unknown
169,Jun 20 09:20:05,combo,sshd(pam_unix),Auth Failure,HIGH,65.166.159.14,,Jun 20 09:20:05 combo sshd(pam_unix)[10035]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14
170,Jun 20 09:20:05,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 20 09:20:05 combo sshd(pam_unix)[10037]: check pass; user unknown
171,Jun 20 09:20:05,combo,sshd(pam_unix),Auth Failure,HIGH,65.166.159.14,,Jun 20 09:20:05 combo sshd(pam_unix)[10037]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14
172,Jun 20 09:20:05,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 20 09:20:05 combo sshd(pam_unix)[10039]: check pass; user unknown
173,Jun 20 09:20:05,combo,sshd(pam_unix),Auth Failure,HIGH,65.166.159.14,,Jun 20 09:20:05 combo sshd(pam_unix)[10039]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14
174,Jun 20 09:20:06,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 20 09:20:06 combo sshd(pam_unix)[10041]: check pass; user unknown
175,Jun 20 09:20:06,combo,sshd(pam_unix),Auth Failure,HIGH,65.166.159.14,,Jun 20 09:20:06 combo sshd(pam_unix)[10041]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14
176,Jun 20 09:20:07,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 20 09:20:07 combo sshd(pam_unix)[10043]: check pass; user unknown
177,Jun 20 09:20:07,combo,sshd(pam_unix),Auth Failure,HIGH,65.166.159.14,,Jun 20 09:20:07 combo sshd(pam_unix)[10043]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14
178,Jun 20 09:20:07,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 20 09:20:07 combo sshd(pam_unix)[10045]: check pass; user unknown
179,Jun 20 09:20:07,combo,sshd(pam_unix),Auth Failure,HIGH,65.166.159.14,,Jun 20 09:20:07 combo sshd(pam_unix)[10045]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14
180,Jun 20 09:20:07,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 20 09:20:07 combo sshd(pam_unix)[10047]: check pass; user unknown
181,Jun 20 09:20:07,combo,sshd(pam_unix),Auth Failure,HIGH,65.166.159.14,,Jun 20 09:20:07 combo sshd(pam_unix)[10047]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14
182,Jun 20 09:20:07,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 20 09:20:07 combo sshd(pam_unix)[10049]: check pass; user unknown
183,Jun 20 09:20:07,combo,sshd(pam_unix),Auth Failure,HIGH,65.166.159.14,,Jun 20 09:20:07 combo sshd(pam_unix)[10049]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14
184,Jun 20 09:20:08,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 20 09:20:08 combo sshd(pam_unix)[10051]: check pass; user unknown
185,Jun 20 09:20:08,combo,sshd(pam_unix),Auth Failure,HIGH,65.166.159.14,,Jun 20 09:20:08 combo sshd(pam_unix)[10051]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14
186,Jun 20 09:20:08,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 20 09:20:08 combo sshd(pam_unix)[10053]: check pass; user unknown
